name,Claim status,Verification status,License verified,Insurance verified,Contacted,Contact date,Notes,SOS match status,SOS entity name,SOS status,SOS filing date,SOS address match,slug,phone,email,website,address,city,state,zip,serviceArea,minFee,truckCapacity,hoseLength,waterType,waterSource,isVerifiedPro,isActive,isClaimed,yearsInBusiness,serviceRadius,truckCount,pumpType,hoseMaterial,insuranceCertificate,hours,plusCode,ada,lgbtqFriendly,veteranOwned,womenOwned,certification,description,Duplicate Flag,siteStatus
"Jimni Systems, Inc.",,,,,,,,,,,,,jimni-systems-inc,(949) 770-7654,,,11161 Jeffrey Road,Irvine,CA,92602,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
H 2 O 2 U,no,no,no,no,,,,no,no,no,no,no,h-2-o-2-u,(760) 364-9262,,https://www.h2o2u.net/,48974 Manzanita Drive,Johnson,CA,92285,"Dripping Springs, TX; Central Texas",,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Family-owned bulk water delivery company serving residential and commercial customers, with services including rainwater collection systems, pools, hot tubs, wells, stock tanks, and emergency water disruption service.",,live
"Hi Desert Water Transport, Inc.",,Verified 05/07/26,,,,,,Verified 05/07/26,"HI DESERT WATER TRANSPORT, INC.",Active,12/29/2014,"61755 ELWOOD PL.
JOSHUA TREE, CA 92252",hi-desert-water-transport-inc,(760) 367-4526,,,4851 Avenida La Flora,Joshua Tree,CA,92252,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
B. L. Murphy,,,,,,,,,,,,,b-l-murphy,(760) 765-0841,,,2409 Wynola Road,Julian,CA,92036,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"A & G Pumping, Inc.",,Verified 05/07/26,,,,,,Verified 05/07/26,,Active,,,a-g-pumping-inc,(831) 385-5803,,,268 East San Antonio Drive,King City,CA,93930,,,,,,,FALSE,TRUE,FALSE,25,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Puryear Domestic Water Delivery,,,,,,,,,,,,,puryear-domestic-water-delivery,(707) 443-4181,,,422 Shale Lane,Kneeland,CA,95549,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Laguna Beach County Water District,,,,,,,,,,,,,laguna-beach-county-water-district,(949) 464-1041,,,306 Third Street,Laguna Beach,CA,92651,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
South Coast Water District,,,,,,,,,,,,,south-coast-water-district,(949) 499-4555,,,31108-B South Coast,Laguna Beach,CA,92651,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Moulton Niguel Water District,,,,,,,,,,,,,moulton-niguel-water-district,(949) 831-2500,,,26161 Gordon Road,Laguna Hills,CA,92653,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
TL's Portable Sinks & Water Trucks,,,,,,,,,,,,,tls-portable-sinks-water-trucks,(661) 333-9456,,,3817 Seclusion Road,Lake Isabella,CA,93240,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Harkrader Trucking, Inc.",,,,,,,,,,,,,harkrader-trucking-inc,(530) 238-2284,,,16814 Packers Bay Road,Lakehead,CA,96051,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Paul E. Scribner Const., Inc",,,,,,,,,,,,,paul-e-scribner-const-inc,(530) 623-4840,,,4831 Trinity Dam Blvd,Lewiston,CA,96052,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"AAA Mobile Solutions, Inc",,,,,,,,,,,,,aaa-mobile-solutions-inc,(888) 285-5597,,,23100 Road 201,Lindsay,CA,93247,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Nestle Waters North America, Inc.",,,,,,,,,,,,,nestle-waters-north-america-inc,(925) 294-7720,,,7480 Las Positas Road,Livermore,CA,94551,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Aero Pure Water Hauling,,,,,,,,,,,,,aero-pure-water-hauling,(209) 224-5898,,,133 Commerce Street,Lodi,CA,95240,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Curtin Maritime Corp.,,,,,,,,,,,,,curtin-maritime-corp,(562) 666-6971,,,1500 Pier C Street,Long Beach,CA,90813,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Action Sanitary,,,,,,,,,,,,,action-sanitary,(707) 994-5068,Actionsanitary@gmail.com,actionsanitaryinc.com,12018 Spruce Grove Rd,Lower Lake,CA,95457,,,"Up to 5,000 gal",,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Action Sanitary is a Northern California site support provider offering bulk potable water delivery, septic services, and portable restrooms.",,live
1# Moore Water Service,,,,,,,,,,,,,1-moore-water-service,(760) 247-9125,,,11191 Joshua Road,Lucerne,CA,92356,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
George's Water Service,,,,,,,,,,,,,georges-water-service,(760) 248-2872,,,23732 Monolith Street,Lucerne,CA,92356,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bezak Liquid Transport,,,,,,,,,,,,,bezak-liquid-transport,(209) 966-4244,,,5062 West Whitlock Road,Mariposa,CA,95338,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Norcal Water Delivery,,,,,,,,,,,,,norcal-water-delivery,(707) 498-2689,,,275 Rock Pit Road,McKinleyville,CA,95519,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Mendocino Water Company,,,,,,,,,,,,,mendocino-water-company,(707) 937-5216,,,43401 Little Lake Road,Mendocino,CA,95460,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Dempsey's Water System,,,,,,,,,,,,,dempseys-water-system,(209) 572-1677,,,"1224 Reno Avenue, Suite O",Modesto,CA,95351,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Vito Trucking LLC.,,,,,,,,,,,,,vito-trucking-llc,(209) 342-5104,,,2812 Nathan Avenue,Modesto,CA,95354,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bingham's Potable Water Delivery,,,,,,,,,,,,,binghams-potable-water-delivery,(707) 815-2223,,,1084 First Avenue,Napa,CA,94558,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Carneros Inn Mutual Water Co,,,,,,,,,,,,,carneros-inn-mutual-water-co,(707) 299-4936,,,4048 Sonoma Highway,Napa,CA,94559,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Oakville Pump Service,,,,,,,,,,,,,oakville-pump-service,(707) 944-2471,,,7855 St. Helena Highway,Oakville,CA,94562,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Tom's Equipment Rental,,,,,,,,,,,,,toms-equipment-rental,(559) 626-4152,,,6275 South Anchor Avenue,Orange Cove,CA,93646,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Renaissance Vineyard & Winery,,,,,,,,,,,,,renaissance-vineyard-winery,(800) 655-3277,,,12585 Rices Crossing Road,Oregon House,CA,95962,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Butte Water Truck Service,,,,,,,,,,,,,butte-water-truck-service,(530) 589-0645,,,5656 Miners Ranch Road,Oroville,CA,95966,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Carson Water Delivery,,,,,,,,,,,,,carson-water-delivery,(661) 269-1866,,,32137 Angeles Forest Hwy,Palmdale,CA,93550,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Wendy's Water Truck Co.,,,,,,,,,,,,,wendys-water-truck-co,(661) 944-4420,,wendyswater.com,11817 Fort Tejon Road,Pearblossom,CA,93553,,,"4,000 gal",,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,Lic # 96094,The A.V.'s Only Drinking Water Source. We are California Health Dept. Certified and L.A. County Approved for clean water services.,,live
H20 To Go,,,,,,,,,,,,,h20-to-go,(530) 432-8440,,,12093 Chances R Road,Penn Valley,CA,95946,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bill Pardini Trucking Inc.,,,,,,,,,,,,,bill-pardini-trucking-inc,(707) 763-3176,,,653 Fallon Road,Petaluma,CA,94952,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Dan Pardini Trucking,,,,,,,,,,,,,dan-pardini-trucking,(707) 753-0695,,,653 Fallon Road,Petaluma,CA,94952,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Martell Water Systems, Inc.",,,,,,,,,,,,,martell-water-systems-inc,(925) 432-4282,,,1818 Loveridge Road,Pittsburg,CA,94565,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Abel Fire Equipment,,,,,,,,,,,,,abel-fire-equipment,(800) 798-1923,,,4721 Quarry Court,Placerville,CA,95667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Rickaby Fire Support provides mobile showers and potable water to fire camps, disaster relief efforts, and large private events.",,live
Bret Williams Water Truck Services,,,,,,,,,,,,,bret-williams-water-truck-services,+15303133369,,,2240 CA-49,Placerville,CA,95667,,,,,,,FALSE,TRUE,FALSE,,,,,,,Sunday: Open 24 hours  Monday: Open 24 hours  Tuesday: Open 24 hours  Wednesday: Open 24 hours  Thursday: Open 24 hours  Friday: Open 24 hours  Saturday: Open 24 hours,"Q52G+9R Placerville, California",FALSE,FALSE,FALSE,FALSE,,,,pending
Brett Williams Water Truck Services,,,,,,,,,,,,,brett-williams-water-truck-services,(530) 313-3369,,,6526 Motherlode Drive,Placerville,CA,95667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
El Dorado Water & Shower Service,,,,,,,,,,,,,el-dorado-water-shower-service,(530) 622-8995,,,5821 Mother Lode Drive,Placerville,CA,95667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Popejoy's Water & Fire Support,,,,,,,,,,,,,popejoys-water-fire-support,(530) 957-1646,,,9285 Mosquito Road,Placerville,CA,95667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Ken Enns,,,,,,,,,,,,,ken-enns,(559) 731-7981,,,1731 Theta Court,Porterville,CA,93257,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Tehama Transport,,,,,,,,,,,,,tehama-transport,(530) 529-9770,,,20065 Live Oak Road,Red Bluff,CA,96080,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Waterdog, LLC",,,,,,,,,,,,,waterdog-llc,(530) 514-2232,,,19260 Ridge Road,Red Bluff,CA,96080,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
California Dept. of Forestry,,,,,,,,,,,,,california-dept-of-forestry,(530) 265-7855,,,6105 Airport Road,Redding,CA,96002,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Emergency Water Supply, Inc.",,,,,,,,,,,,,emergency-water-supply-inc,(530) 241-8585,,,1050 Twin View Blvd,Redding,CA,96003,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Fire Water Supply,,,,,,,,,,,,,fire-water-supply,(530) 529-7206,,,2434 Progress Drive #A,Redding,CA,96001,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Levey Transport Inc.,,,,,,,,,,,,,levey-transport-inc,(530) 223-9090,,,8490 Hartmeyer Lane,Redding,CA,96002,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
R. J. White Sales,,,,,,,,,,,,,r-j-white-sales,(530) 241-7325,,,2832 Howard Drive,Redding,CA,96001,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Silverthorn Resort, Inc.",,,,,,,,,,,,,silverthorn-resort-inc,(530) 275-7950,,,22300 Jones Valley Marina,Redding,CA,96003,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Totem Logistics Inc.,,,,,,,,,,,,,totem-logistics-inc,(510) 332-1231,,,2100 Tunel Road,Redway,CA,95560,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Martin E. Moyer,,,,,,,,,,,,,martin-e-moyer,(707) 485-8591,,,2181 Road B,Redwood,CA,95470,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Blue Planet Water Services LLC.,,,,,,,,,,,,,blue-planet-water-services-llc,(650) 366-8844,,,750 Hurlingame Avenue,Redwood City,CA,94063,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
L & L Farms,,,,,,,,,,,,,l-l-farms,(530) 882-4343,,,4577 Midway,Richvale,CA,95974,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bertrand Enterprises,,,,,,,,,,,,,bertrand-enterprises,(760) 446-6600,,,1210 West Graaf Avenue,Ridgecrest,CA,93555,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
River Rats Septic & Plumbing,,,,,,,,,,,,,river-rats-septic-plumbing,(530) 308-1472,,,10467 La Sierra,Rough and Ready,CA,95975,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,rejected
Water U Want,,,,,,,,,,,,,water-u-want,(831) 442-2482,,,2037 North Main Street,Salinas,CA,93906,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Rezek Equipment Engineering,,,,,,,,,,,,,rezek-equipment-engineering,(800) 739-3979,,,970 Reece Street,San Bernardino,CA,92411,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Pacific Maritime Freight Inc.,,,,,,,,,,,,,pacific-maritime-freight-inc,(619) 533-7932,,,1444 Cesar E. Chavez Pkwy,San Diego,CA,92113,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bay Area Water Trucks,,,,,,,,,,,,,bay-area-water-trucks,+14082980500,info@BayAreaWater.com,http://www.watertruk.com/,,San Jose,CA,95112,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Providing complete water transportation services.  Our bulk  transport division delivers specialized water products for whatever your needs.  Fresh water for domestic use using our food-grade tankers Industrial waters (reclaimed, seawater, specialized)  Our Industrial division provides highly capable trucks for: Construction The film production Industry",,live
United Site Services Inc.,,,,,,,,,,,,,united-site-services-inc,(775) 745-5789,,,3408 Hillcap Avenue,San Jose,CA,95136,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Bay Area Corporation, Inc.",,,,,,,,,,,,,bay-area-corporation-inc,(408) 683-0500,,,13005 Fircrest Drive,San Martin,CA,95046,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Water U Want is a registered water hauler located in Salinas, CA, offering bulk water delivery services.",,live
Kyle Koontz Trucking,,,,,,,,,,,,,kyle-koontz-trucking,(559) 760-7149,,,852 South Thompson,Sanger,CA,93657,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
NRK Services Inc.,,,,,,,,,,,,,nrk-services-inc,(559) 681-9638,,,10140 East McKinley,Sanger,CA,93657,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"DS Services of America, Inc.",,,,,,,,,,,,,ds-services-of-america-inc,(714) 454-6513,,,1522 N. Newhope Street,Santa Ana,CA,92703,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Universal Bobcat & Hauling, Inc.",,,,,,,,,,,,,universal-bobcat-hauling-inc,(949) 338-2538,,,414 N. Santa Fe Street,Santa Ana,CA,92701,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Sweetwater Enterprises,,,,,,,,,,,,,sweetwater-enterprises,(805) 260-1239,,,4 Springs Ranch Hwy 154,Santa Barbara,CA,93105,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"AQ Transport, LLC",,,,,,,,,,,,,aq-transport-llc,(818) 344-2544,,,25060 West Avenue,Santa Clarita,CA,91355,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Sooner Trucking LLC,,,,,,,,,,,,,sooner-trucking-llc,(661) 873-3456,,,24737 Walnut Street,Santa Clarita,CA,91321,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Premier Water Services is a Southwest Florida bulk water distributor providing timely delivery to contractors, pool builders, and homeowners.",,pending
H2O4U,,,,,,,,,,,,,h2o4u,(831) 479-0400,,,911 41st Avenue,Santa Cruz,CA,95062,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Santa Margarita Water District,,,,,,,,,,,,,santa-margarita-water-district,(949) 459-6541,,,26111 Antonio Parkway,Santa Margarita,CA,92688,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Pacific Petroleum California, Inc.",,,,,,,,,,,,,pacific-petroleum-california-inc,(805) 925-1947,,,1615 East Betteravia Road,Santa Maria,CA,93454,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Butch Cameron Trucking, Inc.",,,,,,,,,,,,,butch-cameron-trucking-inc,(707) 546-0146,,,"1240 Century Court, Suite A",Santa Rosa,CA,95403,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
C & L Trucking,,,,,,,,,,,,,c-l-trucking,(707) 888-8714,,,3264 Santa Rosa Avenue,Santa Rosa,CA,95407,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Davis Water Service delivers bulk potable water for pools, construction, and factories across the South, with 24/7 emergency response.",,pending
Clifton Water Trucking,,,,,,,,,,,,,clifton-water-trucking,(707) 237-2659,,,1655 Matanzas Road,Santa Rosa,CA,95405,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Cresta Enterprises, Inc.",,,,,,,,,,,,,cresta-enterprises-inc,(707) 542-6833,,,3000 Porter Creek Road,Santa Rosa,CA,95404,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Rio Dog Trucking, LLC",,,,,,,,,,,,,rio-dog-trucking-llc,(707) 321-1957,,,6110 Petersen Road,Sebastopol,CA,95472,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Doby Hagar Trucking, Inc.",,,,,,,,,,,,,doby-hagar-trucking-inc,(661) 746-2062,,,19063 Transport Lane,Shafter,CA,93263,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Gomes Water Trucks,,,,,,,,,,,,,gomes-water-trucks,(530) 701-3412,,,10212 Melody Road,Smartsville,CA,95977,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Blue Iron,,,,,,,,,,,,,blue-iron,(209) 532-1827,,,18879 Rugged Trail Road,Sonora,CA,95370,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Mike McConnell Construction,,,,,,,,,,,,,mike-mcconnell-construction,(209) 533-2917,,,22077 Fortuna Mine Road,Sonora,CA,95370,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Cherokee Freight Lines,,,,,,,,,,,,,cherokee-freight-lines,(209) 931-3570,,,5463 Cherokee Road,Stockton,CA,95215,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Foodliner, Inc.",,,,,,,,,,,,,foodliner-inc,(209) 941-8361,,,2467 East Mariposa Road,Stockton,CA,95205,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Speedy's Potable Water Service,,,,,,,,,,,,,speedys-potable-water-service,(209) 598-6116,,,11751 Sweet Pea Way,Sutter Creek,CA,95685,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Mack’s (Potable) Water Trucks,,,,,,,,,,,,,Macks-Potable-Water-Trucks,+19513020748,,"G2VF+JC Temecula, California",39220 Gray Squirrel Rd,Temecula,CA,92592,,,,,,,FALSE,TRUE,FALSE,,,,,,,,"G2VF+JC Temecula, California",FALSE,FALSE,TRUE,FALSE,,"Water Tank Fills  Our specialized dust control services help keep construction sites, unpaved roads, and events dust-free. We contribute to a cleaner and safer environment.   Dust Control  Count on us to deliver clean and crystal-clear water for your swimming pools, adhering to the highest water quality standards. Dive into a refreshing pool experience.  Pool FIlls  In times of crisis, you can rely on us for prompt and dependable emergency water services. We're ready to respond to your urgent water needs.",,live
Mack's Water Trucks,,,,,,,,,,,,,macks-water-trucks,(951) 302-0748,,,40560 Calle Cordova,Temecula,CA,92592,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,live
"Schober Transport, Inc.",,,,,,,,,,,,,schober-transport-inc,(951) 506-9944,,,46750 Rainbow Canyon,Temecula,CA,92592,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"D&D Bulk Water Services provides fast and efficient bulk water delivery for residential pools and commercial needs in Brevard County, FL.",,pending
"Bubba's Water Truck Service, Inc.",,,,,,,,,,,,,bubbas-water-truck-service-inc,(559) 289-3403,,,29039 Burrough North Road,Tollhouse,CA,93667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,live
Perrien's Potable Water,,,,,,,,,,,,,perriens-potable-water,(559) 760-5808,,,28657 Burrough Valley Road,Tollhouse,CA,93667,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Indian River Transport,,,,,,,,,,,,,indian-river-transport,(209) 664-0456,,,5100 Taylor Court,Turlock,CA,95382,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
The Confidence Ridge Co.,,,,,,,,,,,,,the-confidence-ridge-co,(209) 454-9228,,,19186 Superior Drive,Twain Harte,CA,95383,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Environmental Aqua, Inc.",,,,,,,,,,,,,environmental-aqua-inc,(707) 469-9576,,,"896 Aldridge Road, Suite D",Vacaville,CA,95688,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
JW Enterprises,,,,,,,,,,,,,jw-enterprises,(805) 658-2449,,,1689 Morse Avenue,Ventura,CA,93003,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Water Now,,,,,,,,,,,,,water-now,(559) 739-4891,,,1037 East Cambridge Ave,Visalia,CA,93292,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Mason's Water Service,,,,,,,,,,,,,masons-water-service,(408) 353-4196,,,1260 Heckler Pass Road,Watsonville,CA,95073,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
State of Jefferson Potable Water,,,,,,,,,,,,,state-of-jefferson-potable-water,(530) 623-8686,,,11 Town Reservoir Road,Weaverville,CA,96093,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"El Oasis Water Company, Co.",,,,,,,,,,,,,el-oasis-water-company-co,(760) 344-3357,,,200 East Main Street,Westmorland,CA,92281,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Aquarian,,,,,,,,,,,,,aquarian,(707) 459-5680,,,1700 Hilltop Drive,Willits,CA,95490,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Gandy-Staley Oil Company, Inc.",,,,,,,,,,,,,gandy-staley-oil-company-inc,(530) 934-3168,,,630 Eureka Street,Willows,CA,95988,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"O L & T Foodtrans, LLC",,,,,,,,,,,,,o-l-t-foodtrans-llc,(310) 387-3466,,,1304 East Lomita Blvd,Wilmington,CA,92612,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Kern Valley Water Tenders, Inc.",,,,,,,,,,,,,kern-valley-water-tenders-inc,(760) 376-2747,,,8 Earl Pascoe Road,Wofford,CA,93285,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Rickaby Fire Support, LLC",,,,,,,,,,,,,rickaby-fire-support-llc,(530) 790-5660,,,1581 Jennifer Lane,Yuba City,CA,95993,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
