name,slug,phone,email,website,address,city,state,zip,serviceArea,minFee,truckCapacity,hoseLength,waterType,waterSource,isVerifiedPro,isActive,isClaimed,yearsInBusiness,serviceRadius,truckCount,pumpType,hoseMaterial,insuranceCertificate,hours,plusCode,ada,lgbtqFriendly,veteranOwned,womenOwned,certification,description
"7Plus Water and Alkaline","7plus-water-and-alkaline","","","","1049 North Arizona Avenue","Chandler","AZ","85225","","","","","","","false","false","false","","","","","","","","","","","","","",""
"Southwest Water Tanks","southwest-water-tanks","(928) 713-0010","","https://sw-tanks.com/","588 South Cold Water Lane","Prescott Valley","AZ","86327","","","2500","","","","false","true","false","","","","","","","","","","","","","","We have tanks and parts for Water storage, NFPA Fire Protection, & SepticWe have tanks and parts for Water storage, NFPA Fire Protection, & SepticWe have tanks and parts for Water storage, NFPA Fire Protection, & Septic"
"Andy’s Water 'n Ice","andys-water-n-ice","(480) 820-9169","","http://waternicetempe.com/","3141 South McClintock Drive","Tempe","AZ","85282","Bags available in 8, 12 and 20 pound sizes.","","","","","","false","false","false","36","","","","","","","","","","","","","{""name"":""top link to water card block"",""action\type"":""4"",""optin\action\type"":""5"",""form\redirect\type"":""4"",""form\redirect\funnel\url"":""65de2e092010f"",""form\redirect\custom\url"":"""",""order\form\settings"":{""containers"":\[{""id"":""personal-info-wrapper"",""visible"":true,""label"":{""id"":""of-personal-title"",""visible"":true},""fields"":\[{""id"":""of-full-name"",""setting"":false,""placeholder"":""Full Name""},{""id"":""of-field-email"",""setting"":false,""placeholder"":""Email Address""},{""id"":""of-phone-number"",""setting"":true,""visible"":false,""require"":true,""placeholder"":""Enter Your Mobile Phone"",""additional"":{""sms\permission"":0}},{""id"":""of-gdpr-optin-approval"",""label"":""I Accept To Receive Additional Info"",""placeholder"":"""",""icon"":""fa-mobile"",""required"":0,""visible"":0,""system"":1,""additional"":{""gdpr\optin\approval"":""1""}}\]},{""id"":""shipping-information-wrapper"",""visible"":false,""label"":{""id"":""of-shipping-title"",""visible"":true},""fields"":\[{""id"":""of-shipping-address"",""setting"":false,""placeholder"":""Address""},{""id"":""of-shipping-city"",""setting"":false,""placeholder"":""City""},{""id"":""of-shipping-state"",""setting"":false,""placeholder"":""State""},{""id"":""of-shipping-zipcode"",""setting"":false,""placeholder"":""Postal Code""}\]},{""id"":""profit-bump-wrapper"",""visible"":true,""otoBgColor"":""rgba(219,229,239,1)"",""otoBorderColor"":""rgba(38,71,102,1)"",""otoTitleBgColor"":""rgba(45,78,108,1)"",""otoArrowsColor"":""rgba(255,177,58,1)"",""fields"":\[\]},{""id"":""order-summary-wrapper"",""visible"":true,""orderDynamicBgColor"":""rgba(242,242,242,1)"",""orderDynamicTexColor"":""rgba(51,51,51,1)"",""fields"":\[\]}\]},""optin\type"":{""showLabels"":0,""fields"":\[{""name"":""first\name"",""label"":""Full Name"",""placeholder"":""Enter Your Full Name"",""icon"":""fa-user"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""last\name"",""label"":""Full Name"",""placeholder"":""Enter Your Full Name"",""icon"":""fa-user"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""email"",""label"":""Email"",""placeholder"":""Enter Your Email"",""icon"":""fa-envelope"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""mobile\phone"",""label"":""Mobile Phone"",""placeholder"":""Enter Your Mobile Phone"",""icon"":""fa-mobile"",""required"":0,""visible"":0,""system"":1,""additional"":{""sms\permission"":0}},{""name"":""fields\labels"",""label"":"""",""placeholder"":"""",""icon"":"""",""required"":0,""visible"":1,""system"":1,""additional"":{}},{""name"":""captcha"",""label"":""Captcha"",""placeholder"":"""",""icon"":"""",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""gdpr\optin\approval"",""label"":""SSBBY2NlcHQgVG8gUmVjZWl2ZSBBZGRpdGlvbmFsIEluZm8="",""placeholder"":"""",""icon"":""fa-mobile"",""required"":0,""visible"":1,""system"":1,""additional"":{""gdpr\optin\approval"":""1"",""sms\permission"":0}}\],""customFields"":\[\],""sortedFields"":\[{""name"":""first\name"",""label"":""Full Name"",""placeholder"":""Enter Your Full Name"",""icon"":""fa-user"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""first\name"",""label"":""Full Name"",""placeholder"":""Enter Your Full Name"",""icon"":""fa-user"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""last\name"",""label"":""Full Name"",""placeholder"":""Enter Your Full Name"",""icon"":""fa-user"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""email"",""label"":""Email"",""placeholder"":""Enter Your Email"",""icon"":""fa-envelope"",""required"":1,""visible"":1,""system"":1,""additional"":{}},{""name"":""mobile\phone"",""label"":""Mobile Phone"",""placeholder"":""Enter Your Mobile Phone"",""icon"":""fa-mobile"",""required"":0,""visible"":0,""system"":1,""additional"":{""sms\permission"":0}},{""name"":""captcha"",""label"":""Captcha"",""placeholder"":"""",""icon"":"""",""required"":1,""visible"":1,""system"":1,""additional"":{}}\],""design"":{""form\background\color"":""rgb(245, 245, 245)"",""field\stroke"":{""size"":""1"",""color"":""rgb(220, 220, 220)""},""field\icons"":1,""button\color"":""rgb(255, 158, 0)"",""button\stroke"":{""size"":""0"",""color"":""rgba(255, 255, 255, 0.2)""},""button\box\shadow\color"":""none"",""field\size"":""small"",""label\size"":""16"",""label\color"":""rgb(0, 0, 0)"",""input\color"":""rgb(52, 152, 219)"",""control\text\color"":""rgb(0, 0, 0)"",""control\text\size"":""15""},""mappedFields"":\[\]},""redirect\type"":{""url"":"""",""target"":0},""next\step"":{""value"":""65de2e092010f""},""click\to\email"":{""value"":""""},""click\to\call"":{""value"":""""},""jump\to\block"":{""value"":""5321489""},""content"":{""header\text"":""PHNwYW4gc3R5bGU9ImZvbnQtc2l6ZToyNHB4OyBmb250LWZhbWlseTonb3BlbiBzYW5zJzsiPjxzcGFuIHN0eWxlPSJsaW5lLWhlaWdodDoxLjRlbTsiPldlIEFyZSBFeGNpdGVkITwvc3Bhbj48L3NwYW4+"",""content\text"":""PHNwYW4gc3R5bGU9ImZvbnQtc2l6ZTo0OHB4OyBmb250LWZhbWlseTonb3BlbiBzYW5zJzsiPjxzcGFuIHN0eWxlPSJsaW5lLWhlaWdodDowLjllbTsiPjxzdHJvbmc+UExFQVNFIEZJTEwgT1VUIFlPVVIgSU5GTyAgQkVMT1cgVE8gU1VCU0NSSUJFPC9zdHJvbmc+PC9zcGFuPjwvc3Bhbj4="",""button\text"":""dW5kZWZpbmVk"",""spam\text"":""PHNwYW4gc3R5bGU9ImxpbmUtaGVpZ2h0OjEuMmVtOyI+V2UgaGF0ZSBTUEFNIGFuZCBwcm9taXNlIHRvIGtlZXAgeW91ciBlbWFpbCBhZGRyZXNzIHNhZmU8L3NwYW4+"",""sms\text"":""UmVjZWl2ZSBTTVMgVGV4dCBVcGRhdGVzIC0gPHNwYW4+b3B0aW9uYWw8L3NwYW4+"",""sms\text2"":""SSBBY2NlcHQgVG8gUmVjZWl2ZSBBZGRpdGlvbmFsIEluZm8=""},""email\confirmation"":{""enable"":1,""subject"":""V2UgQXJlIEV4Y2l0ZWQhIFlvdXIgSW4h"",""message"":""""},""integrations"":\[\],""automation\enable"":0,""thank\you"":{""type"":""popup"",""redirect\url"":"""",""popup\options"":{""background\color"":""#ffffff"",""headline\visible"":1,""icon\visible"":1,""icon\url"":""//my.funnelpages.com/assets-pb/images/thankyou-popup-icon.png"",""subheadline\visible"":1,""button\visible"":1,""button\color"":""#ffa800"",""headline\text"":""PHNwYW4gc3R5bGU9ImxpbmUtaGVpZ2h0OjEuNGVtOyI+VGhhbmsgWW91IEZvciBDb250YWN0aW5nIFVzPC9zcGFuPg=="",""subeadline\text"":""PHNwYW4gc3R5bGU9ImxpbmUtaGVpZ2h0OjEuNGVtOyI+UGxlYXNlIENoZWNrIFlvdXIgRW1haWw8YnIgLz5XZSBXaWxsIEJlIEZvbGxvd2luZyBVcCBTaG9ydGx5PC9zcGFuPg=="",""button\text"":""Q2xvc2U=""}}}"
"Tempe Customer Services Department","tempe-customer-services-department","(480) 350-8361","","https://www.tempe.gov/government/financial-services/customer-services","20 East 6th Street","Tempe","AZ","85281","","","","","","","false","false","false","","","","","","","","","","","","","","Start, Stop, Transfer Service Pay Your Utility Bill"
"Knighthood Water Services LLC","knighthood-water-services-llc","(928) 600-1315","","https://knighthoodwaterservices.com/","7102 East Knighthood Lane","Williams","AZ","86046","","","","","","","false","false","false","","","","","","","","","","","","","","Sherwood Forests Exclusive Residential and Commercial Water Delivery Service! Call today to schedule your delivery! (928) 600-1315"
"Streamline Water LLC","streamline-water-llc","(480) 422-9790","","","2010 East University Drive","Tempe","AZ","85288","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Raul’s Hauling & Junk Removal","rauls-hauling-junk-removal","(480) 931-0310","","http://raulshauling.com/","6218 North 91st Avenue","Glendale","AZ","85305","[AREAS WE SERVE](https://raulshauling.com/service-areas ""AREAS WE SERVE"") OUR SERVICES: - [Dumpster Rentals:](https://raulshauling.com/dumpster-rentals/) We offer dumpster rentals in Phoenix/Glendale & surrounding cities.","","","","","","false","false","false","","","","","","","","","","","","","","Dumpster Rentals: We offer dumpster rentals in Phoenix/Glendale & surrounding cities. 13yd, 15yd, & 20yd dumpsters available for rent. We drop it off, you load it, & we haul it away when you're done. Click here for pricing. Junk Removal:We will load & remove furniture, appliances, mattresses, boxes, TVs, carpet, couches, dressers, wood, yard waste, pianos, hot tubs, pool tables, exercise equipment, playground sets, BBQ grills, trampolines, tires, metal, fences, sheds, bicycles, mirrors, doors, turf, cabinets, etc."
"H2O & More","h2o-more","(623) 214-9988","","","15508 West Bell Road","Surprise","AZ","85374","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Texas Bulk Water","texas-bulk-water","(512) 644-1015","","https://texasbulkwater.com/","7090 U.S. 290","Dripping Springs","TX","78620","Southwest Austin, Dripping Springs, Henly, Buda, Kyle, Blanco, Wimberley, Driftwood, Johnson City, TX","","2400","200","potable","","false","true","false","","","","PTO","FDA-approved, NSF 61","","","","","","","","TCEQ #1050174","We supply water hauling to construction sites, emergency water, wells, storage tanks, swimming pools, landscapes, dust control, concerts, parties and any event that requires lots of water! We deliver bulk portable water in Texas, available 7 days a week. Services include Emergency Water, Water Filtration, Construction Water, Potable Water, Pool Fill Water, and delivery for Wineries, Breweries & Event Venues. Our 2,400-gallon trucks (20% more than standard 2,000-gallon competitors) are equipped with permanently installed PTO pumps for quicker offloads and 200 ft of FDA/NSF 61 approved hose on every truck."
"All About Water","all-about-water","(480) 889-0023","","https://www.allaboutwater.com/?utm_source=google&utm_campaign=gmb_aa-aaw_tempe","112 West Julie Drive","Tempe","AZ","85283","For more than 40 years, All About Water has been the trusted name for plumbing and water treatment services across a large service area, including Phoenix and the surrounding Arizona communities.","","","","","","false","true","false","","","","","","","","","","","","","","Our trusted specialists ensure homes and businesses have healthy, safe, and dependable water in Phoenix, Maricopa County, and beyond."
"Bonito Water Load Station","bonito-water-load-station","(928) 213-2231","","https://www.flagstaff.az.gov/3603/Water-Hauling-Load-Stations","410 North Bonito Street","Flagstaff","AZ","86001","","","","","","","false","true","false","","","","","","","","","","","","","","Create a Website Account\- Manage notification subscriptions, save form progress and more."
"Vern's Water Well","verns-water-well","(623) 780-8710","","http://www.azice911.com/","4410 West Union Hills Drive","Glendale","AZ","85308","Azice911 is a Ice Supplier in Glendale that has been serving the local community with quality Services since 1991.","","","","","","false","true","false","35","","","","","","","","","","","","","- Home - History - ICE Delivery - Thriffty Ice Cream - Events - Community"
"Water Heaters 4 Less","water-heaters-4-less","(480) 277-7420","","http://www.water-heaters-4-less.com/","1044 West Manhatton Drive","Tempe","AZ","85282","They are available in electric, liquid propane (LP) and natural gas models.","","","","","","false","true","false","","","","","","","","","","","","","","Welcome to Water Heaters 4 Less inc. Proud BBB member. My name's Jim Richardson the Chandler AZ / Mesa AZ / Gilbert AZ based hot water heater replacement / repair specialist. I am the one to call for water heater installation / service at a great price for the Metro Phoenix AZ / Scottsdale AZ area. From Queen Creek AZ / San Tan Valley AZ to Avondale / Peoria AZ I can give fast phone quotes, or is your water heater leaking and you need some advice? Call me, I am glad to help."
"Willda Beast","willda-beast","(979) 268-6760","","http://www.willda-beast.com/","15823 Farm to Market 244","Iola","TX","77861","","","","","","","false","false","false","","","","","","","","","","","","","",""
"Clear Choice Water Delivery","clear-choice-water-delivery","(928) 207-7253","","https://clearchoicewaterdelivery.com/","36233 Arizona 61","Concho","AZ","85924","Bulk water delivery serving the Concho, Vernon and St Johns areas.","","3000","","","","false","false","false","","","","","","","","","","","","","","Bulk water delivery serving the Concho, Vernon and St Johns areas."
"Samantha Springs","samantha-springs","(817) 554-8800","","https://www.samanthasprings.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","712 North Main Street","Keller","TX","76248","Servicing Arkansas, Oklahoma, Louisiana, New Mexico, Texas, & beyond","","6250","","","","false","true","false","","","","","","","Sunday: Closed  Monday: 8 AM–5 PM  Tuesday: 8 AM–5 PM  Wednesday: 8 AM–5 PM   Thursday: 8 AM–5 PM   Friday: 8 AM–5 PM  Saturday: Closed","WPVW+JQ Keller, Texas","","","","","","Samantha Springs is Texas’ leading provider of bulk spring water, sourced from our historic underground spring in Keller, TX. Originally rediscovered in 1984, the spring was fully developed and began delivering water in 1996. Whether you need bulk water for industrial use, pool filling, breweries, co-packers, or private-label bottling, we deliver 6,250 gallons per tanker directly to your site—fast, fresh, and hassle-free. 100% Pure Spring Water – Naturally filtered and sourced from protected springs High-Capacity Bulk Delivery – Tanker trucks deliver large volumes across Texas and beyond Bottling & Co-Packing Solutions – Supplying manufacturers and beverage brands with premium water Certified & Compliant – Exceeds Texas Commission for Environmental Quality (TCEQ) & FDA standards"
"Bulk Water","bulk-water","","","","Williams, AZ 86046, USA","Williams","AZ","86046","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Wild West Water Delivery","wild-west-water-delivery","(480) 982-4508","","https://www.wildwestwaterdelivery.com/","928 North Mountain Road","Mesa","AZ","85207","Serving Maricopa and Pinal Counties, including Mesa, Apache Junction, Chandler, Gilbert, Gold Canyon, Queen Creek, San Tan Valley, Florence, Coolidge, and Casa Grande.","","5000","","","","false","true","false","","","","","","","","","","","","","",""
"Alka1 Llc","alka1-llc","(602) 748-8636","","http://www.alka1.com/","1 West Deer Valley Road","Phoenix","AZ","85027","Locally Owned Phoenix based bottled water proudly serving AZ $20 Off 1st Order Start today and save $20 .","","","","","","false","true","false","25","","","","","","","","","","","","","We deliver great tasting Alkaline Water and refreshing Purified Water right to your door for both home or office!"
"H2O Hydration Spot, LLC","h2o-hydration-spot-llc","(520) 222-6172","","https://www.h2ohydrationspot.com/","9160 North Silverbell Road","Tucson","AZ","85743","Every bottle we produce reflects our dedication to health, the environment, and the people we serve — because we don’t just do business here, we live here too.","","","","","","false","true","false","","","","","","","","","","","","","","At H2O Hydration Co., hydration goes far beyond simply quenching thirst; it represents a deep commitment to enhancing both personal health and environmental sustainability. Drawing inspiration from the resilient and vibrant spirit of Tucson, AZ, the brand delivers a premium alkaline water experience thoughtfully designed to meet the needs of today’s health-conscious and eco-aware consumers. Their cold-filled, ultra-purified alkaline water is carefully formulated to help neutralize body acidity, support optimal hydration, assist in natural detoxification processes, and promote sustained energy levels throughout the day. Packaged in sturdy, reusable aluminum bottles, it perfectly combines sleek, modern design with a strong focus on sustainability. Each bottle is a symbol of their unwavering dedication to providing quality hydration that benefits not only the body but also respects and protects the planet, encouraging a meaningful and lasting shift toward responsible consumption—one thoughtfully crafted bottle at a time."
"Arlington Water Heater Repair & Plumbing","arlington-water-heater-repair-plumbing","(817) 873-8514","","","915 East Randol Mill Road","Arlington","TX","76011","","","","","","","false","false","false","","","","","","","","","","","","","",""
"Lone Star H2O To-Go","lone-star-h2o-to-go","(214) 308-9139","","http://www.lonestarh2o.net/","8700A Main Street","Frisco","TX","75034","","","","","","","false","false","false","","","","","","","","","","","","","",""
"AquaOne, Inc.","aquaone-inc","(888) 631-7588","","http://drinkaquaone.com/","2201 Avenue J","Lubbock","TX","79411","","","","","","","false","false","false","","","","","","","","","","","","","",""
